pm2_5,city,co,pm10,level,o3,spider,so2,crawl_time,date,aqi,no2
108,,2.6,0,轻度污染,55,aqi_redisspider,103,2018-11-28 17:27:12.923000,2014-03-01,142,57
168,,2.4,247,重度污染,27,aqi_redisspider,116,2018-11-28 17:27:12.924000,2014-03-02,218,71
80,,2.1,152,轻度污染,133,aqi_redisspider,56,2018-11-28 17:27:20.648000,2014-04-01,107,53
117,,2,309,中度污染,108,aqi_redisspider,52,2018-11-28 17:27:20.654000,2014-05-01,180,66
74,,1.9,125,轻度污染,165,aqi_redisspider,58,2018-11-28 17:27:20.722000,2014-06-01,105,45
29,,1,120,良,88,aqi_redisspider,39,2018-11-28 17:27:20.655000,2014-05-02,85,37
95,,1.5,186,轻度污染,133,aqi_redisspider,24,2018-11-28 17:27:20.881000,2014-07-01,125,34
95,,1.6,121,轻度污染,78,aqi_redisspider,60,2018-11-28 17:27:20.884000,2014-03-03,125,40
101,,2.1,144,轻度污染,58,aqi_redisspider,65,2018-11-28 17:27:20.904000,2014-03-04,133,48
56,,1.4,131,良,94,aqi_redisspider,41,2018-11-28 17:27:20.913000,2014-04-03,91,43
62,,1.7,118,良,80,aqi_redisspider,60,2018-11-28 17:27:20.913000,2014-04-02,84,44
105,,2.1,189,轻度污染,77,aqi_redisspider,68,2018-11-28 17:27:20.914000,2014-04-04,138,61
55,,1.4,259,中度污染,84,aqi_redisspider,43,2018-11-28 17:27:20.921000,2014-04-05,155,35
66,,1.8,137,良,91,aqi_redisspider,61,2018-11-28 17:27:20.922000,2014-04-06,94,44
52,,1,201,轻度污染,82,aqi_redisspider,65,2018-11-28 17:27:20.925000,2014-05-03,126,56
37,,0.6,127,良,80,aqi_redisspider,22,2018-11-28 17:27:20.926000,2014-05-04,89,30
53,,0.8,150,良,95,aqi_redisspider,41,2018-11-28 17:27:20.928000,2014-05-05,100,50
62,,1.2,164,轻度污染,106,aqi_redisspider,33,2018-11-28 17:27:20.929000,2014-05-06,107,42
72,,1.4,134,良,126,aqi_redisspider,36,2018-11-28 17:27:20.931000,2014-05-07,97,54
76,,1.3,113,轻度污染,139,aqi_redisspider,27,2018-11-28 17:27:20.933000,2014-05-09,102,36
66,,1.2,110,良,125,aqi_redisspider,41,2018-11-28 17:27:20.932000,2014-05-08,89,44
30,,1.3,58,良,120,aqi_redisspider,31,2018-11-28 17:27:20.935000,2014-06-02,67,28
44,,2,70,良,159,aqi_redisspider,42,2018-11-28 17:27:20.936000,2014-06-03,100,42
61,,2,120,轻度污染,170,aqi_redisspider,48,2018-11-28 17:27:20.938000,2014-06-04,110,46
88,,2.9,146,轻度污染,184,aqi_redisspider,64,2018-11-28 17:27:20.940000,2014-06-05,122,47
90,,2,160,轻度污染,203,aqi_redisspider,39,2018-11-28 17:27:20.955000,2014-06-06,140,44
82,,1.4,122,轻度污染,164,aqi_redisspider,19,2018-11-28 17:27:21.159000,2014-07-02,109,26
74,,1.3,143,良,142,aqi_redisspider,18,2018-11-28 17:27:21.204000,2014-07-03,99,26
74,,2.2,113,良,36,aqi_redisspider,88,2018-11-28 17:27:21.206000,2014-03-05,99,54
94,,2,162,轻度污染,53,aqi_redisspider,110,2018-11-28 17:27:21.208000,2014-03-06,124,60
102,,2.6,170,轻度污染,60,aqi_redisspider,74,2018-11-28 17:27:21.210000,2014-03-07,134,49
106,,2,148,轻度污染,65,aqi_redisspider,85,2018-11-28 17:27:21.212000,2014-03-08,139,58
164,,3.4,248,重度污染,75,aqi_redisspider,117,2018-11-28 17:27:21.213000,2014-03-09,214,74
140,,2.4,201,中度污染,109,aqi_redisspider,127,2018-11-28 17:27:21.214000,2014-03-10,186,60
36,,0.6,110,良,119,aqi_redisspider,17,2018-11-28 17:27:21.230000,2015-10-01,80,33
140,,1.1,188,中度污染,117,aqi_redisspider,36,2018-11-28 17:27:21.240000,2015-11-01,186,58
124,,1.1,189,中度污染,97,aqi_redisspider,35,2018-11-28 17:27:21.242000,2015-11-02,163,58
173,,2.1,212,重度污染,30,aqi_redisspider,31,2018-11-28 17:27:21.248000,2015-12-01,223,55
88,,1.3,142,轻度污染,53,aqi_redisspider,28,2018-11-28 17:27:21.250000,2015-12-02,117,36
44,,0.7,95,良,62,aqi_redisspider,27,2018-11-28 17:27:21.252000,2015-12-03,73,23
130,,1.3,162,中度污染,73,aqi_redisspider,36,2018-11-28 17:27:21.254000,2015-12-04,172,43
86,,1.5,108,轻度污染,45,aqi_redisspider,28,2018-11-28 17:27:21.261000,2016-01-01,114,34
114,,1.4,149,轻度污染,61,aqi_redisspider,29,2018-11-28 17:27:21.262000,2016-01-02,149,36
163,,1.7,204,重度污染,64,aqi_redisspider,26,2018-11-28 17:27:21.264000,2016-01-03,213,40
